question,answer
Shiloh bugün 44 yaşında.  7 yıl sonra yeğeninin üç katı yaşında olacak.  Yeğeni bugün kaç yaşında?,"Shiloh bugün 44 yaşında. 7 yıl sonra, Shiloh 51 yaşında olacak. 51 yaş, yeğeninin yaşının üç katına eşit olacak. Bu durumda, yeğeninin 7 yıl sonraki yaşı 17'dir (51 / 3). Yeğeninin şu anki yaşı ise, 17 - 7 = 10'dur.  Bu nedenle, yeğeni bugün 10 yaşında."
"Hobi mağazası normalde ayda 21.122 ticari kart satmaktadır. Haziran ayında hobi mağazası normalden 3.922 adet daha fazla kart satmıştır. Eğer hobi mağazası Temmuz ayında normal sayıda kart sattıysa, Haziran ve Temmuz aylarının toplamında kaç kart satmıştır?","Haziran ayında satılan kart sayısı 21.122 + 3.922 = 25.044'tür. Temmuz ayında normal sayıda, yani 21.122 kart satılmıştır. Haziran ve Temmuz aylarındaki toplam kart satışı:

25.044 + 21.122 = 46.166 karttır."
"Jasmine ve ablası Alexa ayakkabı almak için mağazaya gittiler. Alexa'nın ayakkabıları Jasmine'in ayakkabılarından iki kat daha büyüktür. Eğer Jasmine'in ayakkabı numarası 7 ise, ikisinin toplam ayakkabı numarası kaçtır?","Alexa'nın ayakkabı numarası, Jasmine'in ayakkabı numarasının iki katıdır. Jasmine'in ayakkabı numarası 7 olduğuna göre, Alexa'nın ayakkabı numarası 14'tür. İkisinin toplam ayakkabı numarası ise:

7 + 14 = 21."
"Bir kaptan yolculuklarının ilk gününde gemisini 100 mil kuzeye yönlendirir. İkinci gün, ilk gün kat ettiği mesafenin üç katı kadar doğuya doğru yelken açar. Üçüncü gün, gemi ikinci gün kat ettiği mesafeden 110 mil daha fazla doğuya gider. Geminin üç gün içinde kat ettiği toplam mesafe nedir?","İlk gün gemi 100 mil kuzeye gitmiştir.

İkinci gün bu mesafenin üç katı kadar doğuya gider: 3 * 100 = 300 mil doğuya.

Üçüncü gün, ikinci gün kat edilen mesafeden 110 mil daha fazlasını gider: 300 + 110 = 410 mil doğuya.

Toplam mesafeyi hesaplamak için tüm günlerdeki mesafeleri toplarız:
100 (kuzeye) + 300 (doğuya) + 410 (doğuya) = 810 mil.

Gemi üç gün içinde toplam 810 mil yol kat etmiştir."
"Bir cam kavanozu doldurmak için 85 kağıt yıldız gereklidir. Luke zaten 33 yıldız yaptı, ancak 4 şişeyi doldurması gerekiyor. Luke daha kaç yıldız yapmalıdır?","Luke, bir kavanozu doldurmak için 85 kağıt yıldıza ihtiyaç duyuyor. Luke'un doldurması gereken 4 kavanoz var, bu da 4 * 85 = 340 yıldız demek. Luke zaten 33 yıldız yaptığına göre, kalan yıldız sayısı 340 - 33 = 307 yıldız olacaktır. Dolayısıyla, Luke 307 yıldız daha yapmalıdır."
"Film A, Film B'nin dörtte biri uzunluğundaydı. Film B, Film C'den 5 dakika daha uzundu. Film C 1,25 saatti. Film A kaç dakika uzunluğundaydı?","Film C 1,25 saat yani 75 dakikadır.

Film B, Film C'den 5 dakika daha uzundu:
75 dakika + 5 dakika = 80 dakika

Film A, Film B'nin dörtte biri uzunluğundaydı:
80 dakika ÷ 4 = 20 dakika

Film A 20 dakika uzunluğundaydı."
"Mason arabasının kaputunu açar ve sincapların motor bölmesini fındık depolamak için kullandığını keşfeder. Eğer 2 meşgul sincap 40 gün boyunca günde 30 fındık ve bir uykucu sincap da günde 20 fındık depoladıysa, Mason'ın arabasında kaç fındık vardır?",Mason'ın arabasında toplamda 40 * (2 * 30 + 20) = 3200 fındık var.
"Snap, Crackle ve Pop bir markette mısır gevreği için 150 dolar harcıyor.  Snap, Crackle'ın iki katı kadar harcıyor.  Crackle, Pop'un 3 katı kadar harcıyor.  Pop ne kadar harcadı?",Pop 20 dolar harcadı.
"Bir kilo çileğin fiyatı 2,20 dolar ve bir kilo kirazın fiyatı çileğin 6 katıdır. Briget 5 kilo çilek ve 5 kilo kiraz alırsa, maliyeti ne kadar olur?","Bir kilo kirazın fiyatı 2,20 doların 6 katı, yani 13,20 dolardır.

5 kilo çileğin maliyeti:
5 kilo * 2,20 dolar/kilo = 11 dolar

5 kilo kirazın maliyeti:
5 kilo * 13,20 dolar/kilo = 66 dolar

Toplam maliyet:
11 dolar + 66 dolar = 77 dolar

Briget'in toplam maliyeti 77 dolar olur."
"Sam ekmek satıyor. Bir hafta içinde 120 kasa ekmek satma hedefi var. Bir hafta Pazartesi ve Cuma günleri kapalıydı. Hafta sonu boyunca 20 kasa sattı. Salı günü 15 kasa, Çarşamba günü 12 kasa ve Perşembe günü 18 kasa sattı. Sam o hafta hedefinden kaç kasa sapmıştır?","Sam'in bir hafta içinde 120 kasa ekmek satma hedefi vardı. Satışları şu şekilde:

- Haftasonu: 20 kasa
- Salı: 15 kasa
- Çarşamba: 12 kasa
- Perşembe: 18 kasa

Toplam satış = 20 + 15 + 12 + 18 = 65 kasa

120 kasa hedefinden sapma = 120 - 65 = 55 kasa

Sam o hafta hedefinden 55 kasa sapmıştır."
"Nick, George'un iki katı şeker yedi. Sonra George 5 şeker yedi. Şimdi George'un 3 şekeri kaldı. Nick'in kaç şekeri var?","George'un başlangıçta kaç şekeri olduğunu bulmamız gerekiyor. George'un 3 şekeri kaldığına göre ve 5 şeker yediğine göre başlangıçta 3 + 5 = 8 şekeri vardı.

Nick, George'un iki katı şeker yediği için, Nick başlangıçta 2 * 8 = 16 şeker yedi.

Dolayısıyla, Nick'in başlangıçta 16 şekeri vardı ve hala aynı miktarda şekeri vardır. Cevap: 16 şeker."
"Bir ilkokul öğretmeni sınıfı için Cadılar Bayramı hediye çantaları hazırlamaktadır.  Çantaların kişiselleştirilmesini istediği için öğrencilerine vampir temalı bir çanta mı yoksa balkabağı temalı bir çanta mı istediklerini sorar.  25 öğrencisinden 11'i vampir temalı, 14'ü ise balkabağı temalı çanta istediklerini belirtiyor.  Öğretmenin alışveriş yaptığı mağazada her bir temadan 5'erli paketlerin fiyatı paket başına 3 dolar ve her bir temadan ayrı ayrı çantaların fiyatı da 1 dolar.  Öğretmen her öğrenciye istediği temayı satın alırsa çantalar için en az ne kadar para harcayabilir?","Öğretmenin 11 vampir temalı ve 14 balkabağı temalı çanta satın alması gerekiyor.

Her temadan 5'li paket 3 dolara satıldığı için paket başına çanta maliyeti 0.60 dolar (3 dolar / 5 çanta).

Vampir Temalı Çantalar:
- 2 adet 5'li paket alır: 2 x 3 dolar = 6 dolar (Toplamda 10 çanta)
- 1 adet tek çanta alır: 1 dolar (Geriye kalan 1 çanta)

Böylece vampir temalı çantalar için toplam maliyet: 6 dolar + 1 dolar = 7 dolar.

Balkabağı Temalı Çantalar:
- 2 adet 5'li paket alır: 2 x 3 dolar = 6 dolar (Toplamda 10 çanta)
- 1 adet 5'li paket alır: 6 dolar (Toplamda 5 çanta)

Böylece balkabağı temalı çantalar için toplam maliyet: 6 dolar + 6 dolar = 12 dolar.

Toplam maliyet: Balkabağı temalı çantalar için 12 dolar + Vampir temalı çantalar için 7 dolar = 19 dolar.

Öğretmen çantalar için en az 19 dolar harcar."
Leah mahalledeki ufak tefek işlerde çalışarak 28 dolar kazandı. Bunun yedide birini milkshake için harcadı ve kalanının yarısını tasarruf hesabına yatırdı. Kalan parayı cüzdanında bıraktı. Köpeği cüzdanını ele geçirdi ve içindeki 1 dolar hariç tüm parayı parçaladı. Leah kaç dolar kaybetti?,"Leah, kazandığı 28 doların yedide birini, yani 4 dolarını milkshake için harcadı. Geriye 24 dolar kaldı. Bu 24 doların yarısını tasarruf hesabına yatırdı, yani 12 dolarını yatırdı ve geriye 12 dolar kaldı. Köpeği cüzdandaki 12 doların 11 dolarını parçaladı. Leah, 11 dolar kaybetti."
"Joshua 12,50$'a 25 portakal satın aldı. Her birini 60c'ye satarsa, her bir portakaldan sent cinsinden ne kadar kâr eder?","Her portakalın satın alma maliyeti 12,50$ / 25 portakal = 50 cent.

Satış fiyatı 60 cent olduğundan, kâr = satış fiyatı - maliyet = 60 cent - 50 cent = 10 cent.

Joshua her bir portakaldan 10 cent kâr eder."
"Aiden ve 12 arkadaşı sinemada bir film izlemeye giderler ve orada 7 arkadaşıyla daha buluşurlar. Her biri bir koltuk ayırıyor ve koltukları dolduracak kadar içecek ve atıştırmalık satın alıyor. Her koltukta bir kişi, iki içecek ve üç atıştırmalık için yeterli yer vardır. İçecek ve atıştırmalıkların her biri 2 dolarsa, grup toplamda atıştırmalık ve içeceklere dolar cinsinden ne kadar para harcamıştır?","Grup toplamda 20 kişidir (Aiden, 12 arkadaşı ve sinemada buluştukları 7 kişi).

Her kişi için 2 içecek ve 3 atıştırmalık gerekmektedir:
- 2 içecek kişi başı: 2 içecek × 2 dolar = 4 dolar
- 3 atıştırmalık kişi başı: 3 atıştırmalık × 2 dolar = 6 dolar
- Toplam kişi başı harcama: 4 dolar (içecekler) + 6 dolar (atıştırmalıklar) = 10 dolar

20 kişi için toplam harcama:
20 kişi × 10 dolar = 200 dolar

Grup toplamda atıştırmalık ve içeceklere 200 dolar harcamıştır."
"Bir denizanası tankında çok sayıda denizanası bulunur. Denizanalarının beşte biri büyüktür ve büyük denizanalarının üçte biri UV ışığı altında yeşilden maviye renk değiştirir. Diğer denizanaları küçüktür ve her zaman mavi kalırlar. Bir UV ışığı açıldığında, 6 denizanası renk değiştirdi. Tankta kaç denizanası var?",Tankta 90 denizanası vardır.
"Tony egzersiz olarak ağırlık kaldırıyor.  ""Curl"" olarak bilinen egzersizde tek koluyla 90 kilo kaldırabiliyor.  ""Askeri pres"" olarak bilinen bir egzersizde, kıvırabildiği ağırlığın iki katını başının üzerinde kaldırabiliyor.  En sevdiği egzersiz ""squat"" olarak biliniyor ve military press egzersizinde kaldırabildiği ağırlığın 5 katını squat ile kaldırabiliyor.  Tony squat egzersizinde pound cinsinden ne kadar ağırlık kaldırabilir?","Squat egzersizinde kaldırdığı ağırlık, askeri pres egzersizinde kaldırabildiği ağırlığın 5 katıdır. Askeri pres egzersizinde Tony, kıvırabildiği ağırlığın iki katını kaldırabiliyor. Tony, ""curl"" egzersizinde 90 kilo kaldırabildiğine göre, askeri pres egzersizinde 180 kilo kaldırabilir.

Squat egzersizinde kaldırdığı ağırlık:
5 x 180 = 900 kilo.

Kilogramları pound cinsine çevirmek için 1 kilogramı 2.20462 pound ile çarparız:
900 x 2.20462 = 1984.158 pound.

Tony squat egzersizinde yaklaşık 1984 pound kaldırabilir."
"Blanche, Rose ve Dorothy sahile gittiklerinde deniz camı toplamayı severlerdi.  Blanche 12 parça yeşil ve 3 parça kırmızı deniz camı buldu.  Rose 9 parça kırmızı ve 11 parça mavi deniz camı buldu.  Dorothy, Blanche ve Rose'un iki katı kadar kırmızı ve Rose'un üç katı kadar mavi deniz camı bulduysa, Dorothy'nin kaç parçası vardı?","Blanche 3 parça kırmızı deniz camı buldu, Rose 9 parça kırmızı deniz camı buldu. Toplamda Rose ve Blanche 3 + 9 = 12 parça kırmızı deniz camı bulmuş oldular. Dorothy, bunun iki katını bulduğuna göre 2 * 12 = 24 parça kırmızı deniz camı buldu.

Rose 11 parça mavi deniz camı buldu. Dorothy, bunun üç katını bulduğuna göre 3 * 11 = 33 parça mavi deniz camı buldu.

Dorothy'nin toplamda 24 parça kırmızı ve 33 parça mavi deniz camı vardı. Toplam parça sayısı 24 + 33 = 57'dir.

Dolayısıyla, Dorothy'nin 57 parça deniz camı vardı."
"Hansel'in Spotify'da 25 şarkı içeren ve her şarkısı 3 dakika uzunluğunda olan bir albümü var. Eğer albüme aynı uzunlukta 10 şarkı daha eklerse, albümdeki tüm şarkıları bitirmesi kaç dakika sürer?","Toplamda 35 şarkı olacak (25 şarkı + 10 şarkı).
Her şarkı 3 dakika olduğuna göre:
35 şarkı * 3 dakika = 105 dakika

Albümü bitirmesi 105 dakika sürer."
"Bir ormancı ağaç dikiyor. Ormanda halihazırda 30 yerli ağaç var. Pazartesi günü yeni ağaçlar dikerek ormandaki toplam ağaç sayısını üçe katlıyor. Salı günü, Pazartesi günü diktiği miktarın üçte birini dikiyor. Ormancı toplam kaç ağaç dikmiştir?","Ormancı Pazartesi günü toplam ağaç sayısını üçe katladığına göre, ormanda 90 ağaç olması gerekiyor. Bu durumda, Pazartesi günü dikilen ağaç sayısı 90 - 30 = 60 ağaçtır.

Salı günü ise bu 60 ağacın üçte birini, yani 60 / 3 = 20 ağaç dikmiştir.

Toplam dikilen ağaç sayısı 60 + 20 = 80 ağaçtır."
John bir TV programı başlatır.  Sezonun ilk yarısı için bölüm başına 1000 dolar öder.  Sezonun ikinci yarısında bölümler %120 daha pahalıya mal olmuştur.  Eğer 22 bölüm varsa tüm sezonun maliyeti ne kadardır?,"İlk yarı için 11 bölüm vardır ve bölüm başına 1000 dolar ödenir. İlk yarının maliyeti 11 * 1000 = 11000 dolardır.

İkinci yarıda 11 bölüm daha vardır ve bu bölümler %120 daha pahalıdır. Yani her bölüm 1000 * (1 + 1.2) = 2200 dolara mal olmuştur. İkinci yarının maliyeti 11 * 2200 = 24200 dolardır.

Tüm sezonun toplam maliyeti 11000 + 24200 = 35200 dolardır."
"Brendan'ın içinde 10 tane bilye olan bir çantası var. Çantayı taşırken bir çakıl taşına takıldı ve yarısını düşürdü. Onları aramak için çabaladı ama sadece 3 tane bulabildi. Eve döndüğünde bilyeleri daha fazla inceledi. Eline aldığı bir tanesi bilye değil, aslında bir boncuktu, bu yüzden ondan kurtuldu. Brendan'ın elinde kaç tane bilye vardı?",Brendan'ın elinde 2 tane bilye vardı.
"Sunnyvale Okulu piknik yapıyordu. Meyve kokteyli yapmak istediler. Ellerinde 4,5 litre portakal pançı vardı. Portakallı punçtan iki kat daha fazla vişneli punç ve vişneli punçtan 1,5 litre daha az elma suyu vardı. Tüm meyve sularını bir araya getirdiklerinde kaç litre meyve punçları oldu?","Portakal pançı miktarı 4,5 litre.
Vişneli punç miktarı 2 * 4,5 = 9 litre.
Elma suyu miktarı 9 - 1,5 = 7,5 litre.

Toplam meyve punç miktarı:
4,5 + 9 + 7,5 = 21 litre."
"Ken sakızlı vitaminler alıyor.  Genelde bakkalda şişesi 15.00 dolar ama şu anda %20 indirimli.  Üstelik 3 adet 2,00$'lık kuponu var.  3 şişe ne kadara mal olur?","İndirimli fiyat: 15.00 dolar * %20 indirim = 3.00 dolar indirim ⇒ 15.00 dolar - 3.00 dolar = 12.00 dolar.

3 şişenin toplam maliyeti: 12.00 dolar * 3 = 36.00 dolar.

Kuponlarla toplam indirim: 3 kupon * 2.00 dolar = 6.00 dolar.

Son fiyat: 36.00 dolar - 6.00 dolar = 30.00 dolar.

3 şişe vitamini Ken 30.00 dolara alır."
"Marcy 40 yıl boyunca aynı şirkette çalışırsa, yıllık 50.000 $/yıl emekli maaşı alır. 20 yıldan sonra, her yıl emekli maaşının değerinin %5'ini almaya hak kazanır. Eğer 30 yıl sonra işten ayrılırsa, yıllık emekli maaşı ne kadar olacaktır?","30 yıl sonra işten ayrılırsa, Marcy her yıl emekli maaşının yıllık değerinin %5'ini 20 yıl boyunca kazanacaktır.

20 yıl sonra:
%5 x 50.000 $ = 2.500 $

Sonraki 10 yıl boyunca her yıl:
%5 x 10 yıl = 50%

Toplam:
2.500 $ x 10 yıl = 25.000 $

İlave olarak 25.000 $, 50.000 $'ın %50'si olan 25.000 $ daha eklenir.

Yıllık emekli maaşı:
25.000 $ + 25.000 $ = 50.000 $ / 2 = 25.000 $"
"Brad'in posta kodu, toplamı 10 olan beş sayıdan oluşmaktadır. Birinci ve ikinci sayılar aynıdır. Üçüncü sayı sıfırdır. Dördüncü sayı ilk sayının iki katıdır. Dördüncü ve beşinci sayıların toplamı 8'dir. Brad'in posta kodu nedir?",Brad'in posta kodu 22518'dir.
James'in 5 düzine kutu kibriti var.  Her kutuda 20 kibrit bulunmaktadır.  James'in kaç tane kibriti vardır?,"James'in 5 düzine kutu kibriti olduğuna göre, her düzinede 12 kutu bulunmaktadır:

5 düzine x 12 kutu/düzine = 60 kutu

Her kutuda 20 kibrit olduğuna göre:

60 kutu x 20 kibrit/kutu = 1200 kibrit

James'in toplam 1200 kibriti vardır."
"Jason yatırım yapmaya başladığından beri, 5 ay içinde yatırdığı miktarın iki katını kazanmıştır. Jason'ın yatırımı şu anda 90 $ değerindeyse, her ay eşit miktarda getiri elde ettiğini varsayarak yatırımından ayda ne kadar kazanmıştır?","Jason'ın yatırımı 5 ayda iki katına çıkmış ve şu anda 90 dolar değerindeyse, başlangıçtaki yatırımı 45 dolar olmalıdır (çünkü 45 doların iki katı 90 dolardır). 5 ay boyunca eşit miktarda getiri elde ettiğini varsayarsak, her ay 45 doları 5'e bölerek bu miktarı bulabiliriz.

45 dolar / 5 ay = 9 dolar/ay

Yani Jason ayda 9 dolar kazanmıştır."
"Marvin ve Tina sınıf gezilerini finanse etmek için şekerleme satıyorlardı.  Çikolataların tanesi 2 dolardı.  Marvin toplam 35 çikolata sattı.  Tina, Marvin'in üç katı kadar şeker sattı.  Tina sınıf gezisi için şekerleme satarak Marvin'e kıyasla ne kadar daha fazla para kazanmıştır?","Marvin 35 çikolata sattı ve her çikolata 2 dolardı, yani Marvin toplam 35 * 2 = 70 dolar kazandı.

Tina, Marvin'in üç katı kadar yani 35 * 3 = 105 çikolata sattı. Tina'nın kazancı 105 * 2 = 210 dolar oldu.

Tina'nın Marvin'e kıyasla daha fazla kazandığı miktar 210 - 70 = 140 dolardır."
"Bruce bir çuval un kullanarak 15 parti pizza hamuru yapabilir. Günde 5 çuval un kullanırsa, bir haftada kaç pizza hamuru yapabilir?","Bruce, bir çuval un ile 15 parti pizza hamuru yapabiliyor. Günde 5 çuval un kullanırsa, 5 çuval * 15 parti/çuval = 75 parti pizza hamuru yapabilir. Bir hafta 7 gün olduğuna göre, 7 gün * 75 parti/gün = 525 parti pizza hamuru yapar. Yani, bir haftada 525 parti pizza hamuru yapabilir."
"Bir okulda öğrencilerin %40'ı ücretsiz öğle yemeği almaktadır. Bu öğle yemekleri, ödeme yapan öğrencilerin ödediği ücretin herkesin yemeğini karşılamaya yettiğinden emin olunarak ödenir. Eğer 50 öğrenciyi beslemek 210 dolara mal oluyorsa, ödeme yapan öğrenciler öğle yemeği için ne kadar öderler?","İlk olarak, ödeme yapan ve ücretsiz yemek yiyen öğrencilerin sayısını belirleyelim. Ücretsiz yemek yiyen öğrenciler toplam öğrencilerin %40'ını oluşturuyorsa, ödeme yapan öğrenciler geriye kalan %60'ı oluşturur.

50 öğrencinin %40'ı ücretsiz yemek alır:
\[ 50 \times 0.40 = 20 \]

Geriye kalan %60 öğrenciler ödeme yapar:
\[ 50 - 20 = 30 \]

50 öğrencinin yemeğinin toplam maliyeti 210 dolar olduğuna göre, ödeme yapan öğrenciler bu maliyeti karşılamak zorundadır. 30 ödeme yapan öğrenci bu toplam maliyeti karşıladığına göre, her bir ödeme yapan öğrencinin ödeyeceği tutarı bulalım:
\[ \frac{210}{30} = 7 \]

Sonuç olarak, her ödeme yapan öğrenci öğle yemeği için 7 dolar öder."
"Allyn bir golfçü. Başlangıç vuruşunda golf topuna vurmuş ve top deliğe doğru 180 yarda gitmiştir.  İkinci dönüşünde, topa yine doğrudan deliğe doğru vurdu ve top ilk dönüşündeki mesafenin yarısı kadar yol aldı, ancak top deliğin 20 yarda ötesine düştü.  Üçüncü vuruşunda topa green'e doğru vurdu ve top yuvarlanarak deliğe girdi.  Başlangıç tişörtünden deliğe kadar olan mesafe yarda cinsinden nedir?","Başlangıç tişörtünden deliğe kadar olan toplam mesafeyi hesaplamak için her vuruşun mesafesini inceleyelim:

1. vuruş: 180 yarda
2. vuruş: 180 / 2 = 90 yarda, fakat top deliğin 20 yarda ötesine düştü. Yani: 90 - 20 = 70 yarda.

Şimdi toplam mesafe:
Başlangıç noktasından 180 yarda, ikinci vuruşta 70 yarda daha gidildi ve toplam mesafe 180 + 70 = 250 yarda olur.

Başlangıç noktasından deliğe kadar olan mesafe 250 yardadır."
Lily dakikada 15 kelime yazıyor ve her 10 dakikada bir 2 dakika mola veriyor. Lily'nin 255 kelime yazması ne kadar sürer?,Lily'nin 255 kelime yazması 22 dakika sürer.
"Hastanede 11 doktor ve 18 hemşire bulunmaktadır. Eğer 5 doktor ve 2 hemşire istifa ederse, geriye kaç doktor ve hemşire kalır?","Eğer 5 doktor ve 2 hemşire istifa ederse, hastanede geriye 6 doktor ve 16 hemşire kalır."
"Büyük bir mağazaya her saat 175 kişi giriyor.  Bu sayı tatil sezonunda iki katına çıkıyor.  Tatil sezonu boyunca, bu büyük mağaza 8 saat içinde kaç müşteri görecektir?","Tatil sezonunda büyük mağaza her saat 175 kişi yerine 350 kişi görecektir. Bu durumda, 8 saat içinde göreceği müşteri sayısı:

350 kişi/saat × 8 saat = 2800 kişi

Tatil sezonu boyunca bu mağaza 8 saat içinde 2800 müşteri görecektir."
"Suzanne 5 kilometrelik bir yarış koşarak hayır işleri için para toplamak istiyor. Ailesi ilk kilometre için 10 dolar bağışta bulunmayı ve sonraki her kilometre için bağışı iki katına çıkarmayı taahhüt etmiştir. Suzanne yarışı bitirirse, ailesi ne kadar para bağışlayacaktır?",Suzanne yarışı bitirirse ailesi toplam 310 dolar bağışlayacaktır.
"Jesse bir yığın yapı taşıyla oynuyor. Önce 80 yapı taşıyla bir bina inşa ediyor. Sonra 123 yapı taşıyla bir çiftlik evi inşa ediyor. Çiftliğin yanına 57 yapı taşından oluşan çitle çevrili bir alan ekliyor. Jesse'nin 84 yapı taşı kaldıysa, kaç yapı taşıyla başlamıştı?",Jesse başlangıçta 344 yapı taşına sahipti.
"Michael'ın iki erkek kardeşi var. En büyük erkek kardeşi, Michael'ın bir yaş küçük olduğu zamanki yaşının iki katından 1 yaş daha büyüktür. Küçük kardeşi ise 5 yaşında, yani büyük kardeşinin yaşının üçte biri kadar. İkisinin toplam yaşı kaçtır?","Michael’ın en büyük erkek kardeşinin yaşını bulalım. En büyük kardeş, Michael'ın bir yaş küçük olduğu zamanki yaşının iki katından 1 yaş daha büyüktür. Diyelim ki Michael şu an \( M \) yaşında. O zaman en büyük kardeşi \( 2(M - 1) + 1 \) yaşında olur.

Küçük kardeşi 5 yaşındadır, yani büyük kardeşinin yaşının üçte biri kadardır. Bu durumda büyük kardeş 5 yaşın 3 katı olan 15 yaşındadır.

Artık en büyük kardeşin yaşını ve Michael’ın yaşını ilişkilendirebiliriz:
\[ 2(M - 1) + 1 = 15 \]
\[ 2M - 2 + 1 = 15 \]
\[ 2M - 1 = 15 \]
\[ 2M = 16 \]
\[ M = 8 \]

Michael’ın şu an 8 yaşında olduğunu belirledik. En büyük kardeşi 15 yaşındadır ve küçük kardeşi 5 yaşındadır. İki erkek kardeşinin toplam yaşı:
\[ 15 + 5 = 20 \]

Dolayısıyla, iki kardeşin toplam yaşı 20'dir."
"Roxy'nin bahçesinde 7 çiçekli bitki var.  Çiçekli bitkilerinin iki katı kadar da meyveli bitkisi var.  Cumartesi günü fidanlığa gider ve 3 çiçekli bitki ile 2 meyveli bitki satın alır. Pazar günü, 1 çiçekli ve 4 meyveli bitkiyi komşusu Ronny'ye veriyor.   Bahçesinde kaç bitki kalmıştır?","Başlangıçta Roxy'nin bahçesinde 7 çiçekli bitki ve 2 katı kadar, yani 14 meyveli bitki vardır.

Cumartesi günü 3 çiçekli bitki ve 2 meyveli bitki satın alır, yani toplamda 7+3=10 çiçekli bitkisi ve 14+2=16 meyveli bitkisi olur.

Pazar günü 1 çiçekli bitki ve 4 meyveli bitki komşusu Ronny'ye verir. Bu durumda bitki sayısı 10-1=9 çiçekli bitki ve 16-4=12 meyveli bitki olur.

Toplamda bahçesinde 9 + 12 = 21 bitki kalmıştır."
"Kasabanın belediye başkanı tarafından bir sahnede düzenlenen münazaraya üç farklı okuldan öğrenciler katılıyordu. Birinci okulun ikinci okuldan iki kat fazla öğrencisi vardı ve ikinci okulun üçüncü okuldan 40 fazla öğrencisi vardı. Üçüncü okulun 200 öğrencisi varsa ve münazara bittikten sonra her öğrenci belediye başkanının elini sıktıysa, sahnede belediye başkanının elini sıkan toplam öğrenci sayısını hesaplayın.","Verilen bilgilere göre, üçüncü okulun 200 öğrencisi var. İkinci okulun öğrencisi üçüncü okuldan 40 fazla olduğuna göre, ikinci okulda 200 + 40 = 240 öğrenci bulunmaktadır. Birinci okulun ise ikinci okuldan iki kat fazla öğrencisi olduğuna göre, birinci okulda 2 × 240 = 480 öğrenci bulunmaktadır.

Toplam öğrenci sayısını hesaplamak için üç okulun öğrenci sayılarını toplarız:
480 (birinci okul) + 240 (ikinci okul) + 200 (üçüncü okul) = 920 öğrencidir.

Bu durumda belediye başkanının elini sıkan toplam öğrenci sayısı 920'dir."
"Alex'in bir ayın ilk haftasında 4 kalemi var. Her hafta kalem koleksiyonu ikiye katlanıyor. Jane'in bir ay sonra 16 kalemi olacaksa, Alex'in Jane'den kaç tane daha fazla kalemi olacaktır?","Bir ay 4 hafta olduğuna göre, Alex'in kalem sayısı her hafta ikiye katlanır. Bu durumda, 4 hafta sonra Alex’in kalem sayısını hesaplayalım:

1. hafta: 4 kalem
2. hafta: 4 * 2 = 8 kalem
3. hafta: 8 * 2 = 16 kalem
4. hafta: 16 * 2 = 32 kalem

Jane'in bir ay sonra 16 kalemi olacak. Dolayısıyla, Alex'in 32 kalemi Jane’in 16 kaleminden 16 kalem fazladır. Alex'in Jane'den 16 kalem daha fazla kalemi olacaktır."
Randy'nin 32 bisküvisi vardı. Babası ona hediye olarak 13 bisküvi vermişti. Annesi ona 15 bisküvi verdi. Randy'nin kardeşi bu bisküvilerin 20'sini yedi. Randy'nin elinde kaç bisküvi kaldı?,"Randy'nin başlangıçta 32 bisküvisi vardı. Babası ona 13 bisküvi verdiğinde toplam 45 bisküvisi oldu. Annesi de 15 bisküvi verdiğinde toplam sayı 60 oldu. Ancak kardeşi 20 bisküvi yediği için geriye 40 bisküvisi kaldı.

Randy'nin elinde 40 bisküvi kaldı."
"Lindsay çamaşır yıkıyor ve bazı çorapları atladığını düşünüyor. Yıkanması gereken 50 çorap vardır. Eğer 10 çift çorabı ve 15 bol çorabı yıkarsa, Lindsay kaç çorabı atlamıştır?","Lindsay 10 çift çorap ve 15 tek çorap yıkamış.

10 çift çorap = 20 çorap
15 bol çorap = 15 çorap

Toplam yıkanan çorap = 20 + 15 = 35 çorap

Yıkanması gereken çorap sayısı = 50 çorap

Atlanan çorap sayısı = 50 - 35 = 15 çorap

Lindsay 15 çorabı atlamıştır."
"Eskiden elmanın kilosu 1,6 dolardı.  Fiyata %25 zam yapıldı.  Dört kişilik bir ailedeki her bir kişi için 2 kilo elma almanın maliyeti nedir?","Zam sonrası elmanın kilosu 2 dolar olur. Dört kişilik aile için toplamda 8 kilo elma gerektiğinden, maliyet 16 dolar olur."
Sarah kitapçıdan 6 ciltsiz kitap ve 4 ciltli kitap satın aldı. Kardeşi Sarah'nın aldığının üçte biri kadar ciltsiz kitap ve onun aldığının iki katı kadar ciltli kitap aldı. Kardeşi toplam kaç kitap satın almıştır?,"Sarah'nın aldığı ciltsiz kitap sayısı 6, ciltli kitap sayısı ise 4'tür. Kardeşi, Sarah'nın aldığı ciltsiz kitapların üçte birini, yani \( \frac{6}{3} = 2 \) ciltsiz kitap satın almıştır. Ayrıca, Sarah'nın aldığı ciltli kitapların iki katını, yani \( 4 \times 2 = 8 \) ciltli kitap satın almıştır.

Toplam kitap sayısını bulmak için bu sayıları toplarız:
\( 2 + 8 = 10 \) kitap.

Kardeşi toplam 10 kitap satın almıştır."
